source_ward_id,source_state,source_lga,source_ward,inec_ward_code,confidence,reason,action
85,Adamawa,Lamurde,Dubange,AD-09-01,1.000,exact,loaded
86,Adamawa,Lamurde,Gyawana,AD-09-02,1.000,exact,loaded
87,Adamawa,Lamurde,Lafiya,AD-09-03,1.000,exact,loaded
88,Adamawa,Lamurde,Lamurde,AD-09-04,1.000,exact,loaded
89,Adamawa,Lamurde,Ngbakawo,AD-09-06,1.000,exact,loaded
90,Adamawa,Lamurde,Ngbebogun,AD-09-05,1.000,exact,loaded
91,Adamawa,Lamurde,Opalo,AD-09-07,1.000,exact,loaded
92,Adamawa,Lamurde,Rigange,AD-09-08,1.000,exact,loaded
93,Adamawa,Lamurde,Suwa,AD-09-09,1.000,exact,loaded
94,Adamawa,Lamurde,Waduku,AD-09-10,1.000,exact,loaded
95,Adamawa,Madagali,Bebel,AD-10-01,1.000,exact,loaded
96,Adamawa,Madagali,Duhu,AD-10-02,1.000,exact,loaded
97,Adamawa,Madagali,Gulak,AD-10-03,1.000,exact,loaded
98,Adamawa,Madagali,Hyambula,AD-10-04,1.000,exact,loaded
99,Adamawa,Madagali,Kirchinga,AD-10-05,1.000,exact,loaded
100,Adamawa,Madagali,Madagali,AD-10-06,1.000,exact,loaded
101,Adamawa,Madagali,Pallam,AD-10-07,1.000,exact,loaded
102,Adamawa,Madagali,Sukur,AD-10-08,1.000,exact,loaded
103,Adamawa,Madagali,Waga-Chakawa,AD-10-09,1.000,exact,loaded
104,Adamawa,Madagali,Wula,AD-10-10,1.000,exact,loaded
105,Adamawa,Maiha,Belel,AD-11-01,1.000,exact,loaded
106,Adamawa,Maiha,Humbutudi,AD-11-02,1.000,exact,loaded
107,Adamawa,Maiha,Konkol,AD-11-03,1.000,exact,loaded
108,Adamawa,Maiha,Maiha Gari,AD-11-04,1.000,exact,loaded
109,Adamawa,Maiha,Manjekin,AD-11-05,1.000,exact,loaded
110,Adamawa,Maiha,Mayo Nguli,AD-11-06,1.000,exact,loaded
111,Adamawa,Maiha,Pakka,AD-11-07,1.000,exact,loaded
112,Adamawa,Maiha,Sorau A,AD-11-08,1.000,exact,loaded
113,Adamawa,Maiha,Sorau B,AD-11-09,1.000,exact,loaded
114,Adamawa,Maiha,Tambajam,AD-11-10,1.000,exact,loaded
